date,symbol,open,high,low,close,macd,macd_signal_line,macd_hist,atr,bolling_middle_band,bolling_upper_band,bolling_lower_band,bolling_upper_diff,bolling_lower_diff,lrs,highest_high,lowest_low,pcn_highest_high,pcn_lowest_low,rmi,rsi,smi
1981-02-12,AAPL,0.091602199110598,0.091602199110598,0.0911652445793151,0.0911652445793151,-0.0042,-0.0027,-0.0015,0.003,0.1037,0.1202,0.0872,-0.029060900205840914,0.003991389364471118,-0.0014,,,0.1008,0.092,18.1844,34.4828,-71.8125
1981-02-13,AAPL,0.0898567425557958,0.0898567425557958,0.0889844000339508,0.0889844000339508,-0.0045,-0.0031,-0.0014,0.0029,0.1028,0.1204,0.0852,-0.031392454822768534,0.0037612548906701404,-0.0013,,,0.1008,0.0912,16.1227,32.1429,-83.004
1981-02-17,AAPL,0.0911652445793151,0.091602199110598,0.0911652445793151,0.0911652445793151,-0.0047,-0.0034,-0.0013,0.0029,0.1016,0.119,0.0842,-0.027805887290150794,0.0069363764487810065,-0.0011,,,0.096,0.089,14.8829,35.7143,-75.3148
1981-02-18,AAPL,0.0950916036963462,0.0959639464531177,0.0950916036963462,0.0950916036963462,-0.0044,-0.0036,-0.0008,0.0031,0.1008,0.1178,0.0838,-0.022708789867620427,0.011291997260312825,-0.0007,,,0.0955,0.089,20.3277,41.3793,-37.4369
1981-02-19,AAPL,0.0898567386264678,0.0898567386264678,0.0894205644726753,0.0894205644726753,-0.0046,-0.0038,-0.0008,0.0032,0.0996,0.1162,0.083,-0.026828460148688393,0.006469589094038997,-0.0006,,,0.096,0.089,19.5126,35.4839,-39.6008
1981-02-20,AAPL,0.0850588702593434,0.0850588702593434,0.0846226960420608,0.0846226960420608,-0.005,-0.004,-0.001,0.0034,0.0981,0.1144,0.0818,-0.02981994838379183,0.0028653404679134103,-0.0008,,,0.096,0.089,17.5068,31.25,-61.0161
1981-02-23,AAPL,0.0859311819076538,0.0863673559973371,0.0859311819076538,0.0859311819076538,-0.0052,-0.0043,-0.0009,0.0032,0.0967,0.1121,0.0813,-0.02613245733244053,0.004594821147748132,-0.001,,,0.096,0.0846,15.3437,33.3333,-70.0748
1981-02-24,AAPL,0.0837503209549214,0.0837503209549214,0.082877978682518,0.082877978682518,-0.0055,-0.0045,-0.001,0.0032,0.0952,0.1099,0.0805,-0.026978857519780533,0.00233481488481653,-0.0012,,,0.096,0.0846,11.5409,30.0,-81.2181
1981-02-25,AAPL,0.0881120786070823,0.0885482470604849,0.0881120786070823,0.0881120786070823,-0.0053,-0.0047,-0.0006,0.0034,0.094,0.1068,0.0812,-0.01872886381585373,0.006953021030018325,-0.0011,,,0.096,0.0829,11.201,37.5,-60.6624
1981-02-26,AAPL,0.0894205644726753,0.0898567386264678,0.0894205644726753,0.0894205644726753,-0.0051,-0.0048,-0.0003,0.0033,0.0931,0.1043,0.0819,-0.014876421590669778,0.007517550536020365,-0.0009,,,0.0899,0.0829,20.9564,38.7097,-26.0517
